,STATE/UT,Year,CAUSE,Male upto 14 years,Male 15-29 years,Male 30-44 years,Male 45-59 years,Male 60 years and above,Total Male,Female upto 14 years,Female 15-29 years,Female 30-44 years,Female 45-59 years,Female 60 years and above,Total Female,Grand Total
281,NAGALAND,2005,Others (Please Specify),0,0,0,0,0,0,0,0,0,0,0,0,0
282,NAGALAND,2005,Total,0,4,13,4,0,21,0,3,3,0,0,6,27
283,NAGALAND,2005,Total Salaried,0,0,7,2,0,9,0,0,1,0,0,1,10
284,NAGALAND,2005,Total Self-employed,0,1,5,2,0,8,0,1,1,0,0,2,10
285,ODISHA,2005,House Wife,0,0,0,0,0,0,0,247,237,89,14,587,587
286,ODISHA,2005,Service (Government),0,16,26,12,0,54,0,7,18,1,0,26,80
287,ODISHA,2005,Service (Private),0,31,25,31,1,88,0,33,32,20,3,88,176
288,ODISHA,2005,Public Sector Undertaking,0,29,34,25,1,89,0,7,8,8,0,23,112
289,ODISHA,2005,Student,28,111,10,0,0,149,26,85,2,0,0,113,262
290,ODISHA,2005,Unemployed,0,101,136,35,6,278,2,44,49,9,6,110,388
291,ODISHA,2005,Self-employed (Business activity),0,59,167,73,21,320,0,20,9,11,2,42,362
292,ODISHA,2005,Professional Activity,0,19,27,32,2,80,0,8,8,7,2,25,105
293,ODISHA,2005,Farming/Agriculture Activity,0,38,86,61,19,204,0,13,22,15,0,50,254
294,ODISHA,2005,Others (Please Specify),26,182,283,247,154,892,13,140,107,69,35,364,1256
295,ODISHA,2005,Retired Person,0,0,0,0,10,10,0,0,0,0,2,2,12
296,ODISHA,2005,Others (Please Specify),4,140,125,102,19,390,19,82,80,34,9,224,614
297,ODISHA,2005,Total,58,726,919,618,233,2554,60,686,572,263,73,1654,4208
298,ODISHA,2005,Total Salaried,0,76,85,68,2,231,0,47,58,29,3,137,368
299,ODISHA,2005,Total Self-employed,26,298,563,413,196,1496,13,181,146,102,39,481,1977
300,PUNJAB,2005,House Wife,0,0,0,0,0,0,0,33,28,15,1,77,77
301,PUNJAB,2005,Service (Government),0,2,6,6,1,15,0,1,0,0,0,1,16
302,PUNJAB,2005,Service (Private),0,19,16,0,0,35,0,0,0,0,0,0,35
303,PUNJAB,2005,Public Sector Undertaking,0,0,2,0,0,2,0,0,0,0,0,0,2
304,PUNJAB,2005,Student,0,16,0,1,0,17,0,4,0,0,0,4,21
305,PUNJAB,2005,Unemployed,0,25,13,8,1,47,1,1,3,0,0,5,52
306,PUNJAB,2005,Self-employed (Business activity),0,14,24,17,3,58,0,2,2,1,0,5,63
307,PUNJAB,2005,Professional Activity,0,4,4,5,1,14,0,0,0,0,0,0,14
308,PUNJAB,2005,Farming/Agriculture Activity,0,24,0,17,6,47,0,0,0,0,0,0,47
309,PUNJAB,2005,Others (Please Specify),0,55,55,28,10,148,0,1,2,0,0,3,151
310,PUNJAB,2005,Retired Person,0,0,0,3,5,8,0,0,0,0,0,0,8
311,PUNJAB,2005,Others (Please Specify),0,5,47,27,12,91,1,0,5,4,1,11,102
312,PUNJAB,2005,Total,0,164,167,112,39,482,2,42,40,20,2,106,588
313,PUNJAB,2005,Total Salaried,0,21,24,6,1,52,0,1,0,0,0,1,53
314,PUNJAB,2005,Total Self-employed,0,97,83,67,20,267,0,3,4,1,0,8,275
315,RAJASTHAN,2005,House Wife,0,0,0,0,0,0,13,459,408,201,19,1100,1100
316,RAJASTHAN,2005,Service (Government),0,9,19,10,0,38,0,0,0,0,0,0,38
317,RAJASTHAN,2005,Service (Private),0,108,107,58,2,275,0,8,3,0,0,11,286
318,RAJASTHAN,2005,Public Sector Undertaking,0,15,9,6,0,30,0,2,2,0,0,4,34
319,RAJASTHAN,2005,Student,19,56,0,0,0,75,13,22,2,0,0,37,112
320,RAJASTHAN,2005,Unemployed,3,57,32,6,2,100,0,2,0,0,0,2,102
321,RAJASTHAN,2005,Self-employed (Business activity),0,46,51,20,3,120,0,0,0,0,0,0,120
322,RAJASTHAN,2005,Professional Activity,0,12,13,2,0,27,0,0,0,0,0,0,27
323,RAJASTHAN,2005,Farming/Agriculture Activity,11,138,210,65,12,436,0,6,14,5,0,25,461
324,RAJASTHAN,2005,Others (Please Specify),17,199,215,90,17,538,6,28,10,4,1,49,587
325,RAJASTHAN,2005,Retired Person,0,0,0,2,2,4,0,0,0,0,0,0,4
326,RAJASTHAN,2005,Others (Please Specify),38,292,469,317,99,1215,18,47,24,2,1,92,1307
327,RAJASTHAN,2005,Total,88,932,1125,576,137,2858,50,574,463,212,21,1320,4178
328,RAJASTHAN,2005,Total Salaried,0,132,135,74,2,343,0,10,5,0,0,15,358
329,RAJASTHAN,2005,Total Self-employed,28,395,489,177,32,1121,6,34,24,9,1,74,1195
330,SIKKIM,2005,House Wife,0,0,0,0,0,0,0,10,7,1,2,20,20
331,SIKKIM,2005,Service (Government),0,0,2,0,0,2,0,0,0,0,0,0,2
332,SIKKIM,2005,Service (Private),0,2,0,0,0,2,0,0,3,0,0,3,5
333,SIKKIM,2005,Public Sector Undertaking,0,0,0,0,0,0,0,0,0,0,0,0,0
334,SIKKIM,2005,Student,2,2,1,0,0,5,2,3,0,0,0,5,10
335,SIKKIM,2005,Unemployed,0,2,2,0,0,4,0,0,0,0,0,0,4
336,SIKKIM,2005,Self-employed (Business activity),0,0,0,0,0,0,0,0,1,0,0,1,1
337,SIKKIM,2005,Professional Activity,0,0,0,0,0,0,0,0,0,0,0,0,0
338,SIKKIM,2005,Farming/Agriculture Activity,0,15,7,8,4,34,0,1,3,3,0,7,41
339,SIKKIM,2005,Others (Please Specify),0,3,5,3,0,11,0,0,2,1,3,6,17
340,SIKKIM,2005,Retired Person,0,0,0,0,0,0,0,0,0,0,0,0,0
341,SIKKIM,2005,Others (Please Specify),0,2,0,2,0,4,0,0,3,2,0,5,9
342,SIKKIM,2005,Total,2,26,17,13,4,62,2,14,19,7,5,47,109
343,SIKKIM,2005,Total Salaried,0,2,2,0,0,4,0,0,3,0,0,3,7
344,SIKKIM,2005,Total Self-employed,0,18,12,11,4,45,0,1,6,4,3,14,59
345,TAMIL NADU,2005,House Wife,0,0,0,0,0,0,0,647,737,493,181,2058,2058
346,TAMIL NADU,2005,Service (Government),0,35,63,58,3,159,0,5,16,11,0,32,191
347,TAMIL NADU,2005,Service (Private),0,259,357,280,51,947,3,115,93,33,5,249,1196
348,TAMIL NADU,2005,Public Sector Undertaking,0,48,88,59,10,205,0,14,30,23,8,75,280
349,TAMIL NADU,2005,Student,73,173,15,0,0,261,59,203,7,1,0,270,531
350,TAMIL NADU,2005,Unemployed,7,390,426,267,84,1174,5,249,141,76,40,511,1685
351,TAMIL NADU,2005,Self-employed (Business activity),0,195,301,243,54,793,0,42,28,37,18,125,918
352,TAMIL NADU,2005,Professional Activity,0,72,93,73,8,246,0,21,13,4,2,40,286
353,TAMIL NADU,2005,Farming/Agriculture Activity,11,217,369,263,142,1002,5,102,73,40,33,253,1255
354,TAMIL NADU,2005,Others (Please Specify),4,351,524,368,183,1430,6,193,126,120,36,481,1911
355,TAMIL NADU,2005,Retired Person,0,0,0,10,84,94,0,0,0,0,8,8,102
356,TAMIL NADU,2005,Others (Please Specify),52,226,471,346,101,1196,94,144,101,85,43,467,1663
357,TAMIL NADU,2005,Total,147,1966,2707,1967,720,7507,172,1735,1365,923,374,4569,12076
358,TAMIL NADU,2005,Total Salaried,0,342,508,397,64,1311,3,134,139,67,13,356,1667
359,TAMIL NADU,2005,Total Self-employed,15,835,1287,947,387,3471,11,358,240,201,89,899,4370
360,TRIPURA,2005,House Wife,0,0,0,0,0,0,0,47,38,15,4,104,104
361,TRIPURA,2005,Service (Government),0,3,13,7,0,23,0,5,3,2,0,10,33
362,TRIPURA,2005,Service (Private),0,8,15,11,0,34,0,6,5,3,0,14,48
363,TRIPURA,2005,Public Sector Undertaking,0,8,9,5,0,22,0,3,4,5,0,12,34
364,TRIPURA,2005,Student,6,22,1,0,0,29,8,28,4,0,0,40,69
365,TRIPURA,2005,Unemployed,0,33,25,14,0,72,0,11,3,2,2,18,90
366,TRIPURA,2005,Self-employed (Business activity),0,34,19,3,6,62,0,0,0,0,0,0,62
367,TRIPURA,2005,Professional Activity,0,8,15,13,5,41,0,0,0,0,0,0,41
368,TRIPURA,2005,Farming/Agriculture Activity,0,14,6,6,3,29,0,0,0,0,0,0,29
369,TRIPURA,2005,Others (Please Specify),3,10,9,11,7,40,5,29,16,5,2,57,97
370,TRIPURA,2005,Retired Person,0,0,0,7,7,14,0,0,0,0,0,0,14
371,TRIPURA,2005,Others (Please Specify),1,9,15,6,4,35,3,45,5,6,0,59,94
372,TRIPURA,2005,Total,10,149,127,83,32,401,16,174,78,38,8,314,715
373,TRIPURA,2005,Total Salaried,0,19,37,23,0,79,0,14,12,10,0,36,115
374,TRIPURA,2005,Total Self-employed,3,66,49,33,21,172,5,29,16,5,2,57,229
375,UTTAR PRADESH,2005,House Wife,0,0,0,0,0,0,0,547,348,119,0,1014,1014
376,UTTAR PRADESH,2005,Service (Government),0,8,16,11,0,35,0,8,3,2,0,13,48
377,UTTAR PRADESH,2005,Service (Private),3,74,54,27,6,164,25,29,0,5,36,95,259
378,UTTAR PRADESH,2005,Public Sector Undertaking,0,18,32,22,0,72,0,23,18,11,0,52,124
379,UTTAR PRADESH,2005,Student,19,105,16,0,0,140,12,60,7,0,0,79,219
380,UTTAR PRADESH,2005,Unemployed,2,69,91,26,7,195,0,39,24,9,0,72,267
381,UTTAR PRADESH,2005,Self-employed (Business activity),2,68,76,42,32,220,2,1,5,0,0,8,228
382,UTTAR PRADESH,2005,Professional Activity,1,13,17,24,6,61,0,1,2,0,0,3,64
383,UTTAR PRADESH,2005,Farming/Agriculture Activity,3,108,164,103,44,422,1,41,27,15,16,100,522
384,UTTAR PRADESH,2005,Others (Please Specify),13,71,106,78,37,305,11,90,27,31,8,167,472
385,UTTAR PRADESH,2005,Retired Person,0,0,0,3,3,6,0,0,0,2,1,3,9
386,UTTAR PRADESH,2005,Others (Please Specify),15,33,41,33,30,152,8,25,12,14,12,71,223
387,UTTAR PRADESH,2005,Total,58,567,613,369,165,1772,59,864,473,208,73,1677,3449
388,UTTAR PRADESH,2005,Total Salaried,3,100,102,60,6,271,25,60,21,18,36,160,431
389,UTTAR PRADESH,2005,Total Self-employed,19,260,363,247,119,1008,14,133,61,46,24,278,1286
390,UTTARAKHAND,2005,House Wife,0,0,0,0,0,0,0,44,20,3,0,67,67
391,UTTARAKHAND,2005,Service (Government),0,2,3,2,0,7,0,0,0,0,0,0,7
392,UTTARAKHAND,2005,Service (Private),0,7,7,3,0,17,0,2,1,0,0,3,20
393,UTTARAKHAND,2005,Public Sector Undertaking,0,3,3,0,0,6,0,1,0,0,0,1,7
394,UTTARAKHAND,2005,Student,0,8,0,0,0,8,3,3,0,0,0,6,14
395,UTTARAKHAND,2005,Unemployed,0,19,18,6,0,43,0,0,1,0,0,1,44
396,UTTARAKHAND,2005,Self-employed (Business activity),0,7,16,2,1,26,0,0,0,0,0,0,26
397,UTTARAKHAND,2005,Professional Activity,0,2,4,4,0,10,0,0,0,0,0,0,10
398,UTTARAKHAND,2005,Farming/Agriculture Activity,0,4,4,5,2,15,0,3,3,3,0,9,24
399,UTTARAKHAND,2005,Others (Please Specify),0,8,8,4,0,20,0,1,0,1,0,2,22
400,UTTARAKHAND,2005,Retired Person,0,0,0,1,2,3,0,0,0,0,0,0,3
401,UTTARAKHAND,2005,Others (Please Specify),0,16,3,2,4,25,1,0,1,2,0,4,29
402,UTTARAKHAND,2005,Total,0,76,66,29,9,180,4,54,26,9,0,93,273
403,UTTARAKHAND,2005,Total Salaried,0,12,13,5,0,30,0,3,1,0,0,4,34
404,UTTARAKHAND,2005,Total Self-employed,0,21,32,15,3,71,0,4,3,4,0,11,82
405,WEST BENGAL,2005,House Wife,0,0,0,0,0,0,0,1834,1296,830,195,4155,4155
406,WEST BENGAL,2005,Service (Government),0,46,70,48,0,164,0,2,9,9,0,20,184
407,WEST BENGAL,2005,Service (Private),0,418,464,237,0,1119,0,94,104,47,0,245,1364
408,WEST BENGAL,2005,Public Sector Undertaking,0,97,222,152,0,471,0,32,12,2,0,46,517
409,WEST BENGAL,2005,Student,141,285,27,0,0,453,164,102,12,0,0,278,731
410,WEST BENGAL,2005,Unemployed,0,617,301,10,0,928,0,152,63,6,0,221,1149
411,WEST BENGAL,2005,Self-employed (Business activity),0,212,351,307,34,904,0,11,56,8,21,96,1000
412,WEST BENGAL,2005,Professional Activity,0,57,133,148,8,346,0,3,1,2,0,6,352
413,WEST BENGAL,2005,Farming/Agriculture Activity,0,233,293,282,45,853,0,12,60,30,10,112,965
414,WEST BENGAL,2005,Others (Please Specify),0,372,610,528,202,1712,4,193,86,133,42,458,2170
415,WEST BENGAL,2005,Retired Person,0,0,0,0,212,212,0,0,0,0,15,15,227
416,WEST BENGAL,2005,Others (Please Specify),73,625,430,296,28,1452,37,345,220,111,36,749,2201
417,WEST BENGAL,2005,Total,214,2962,2901,2008,529,8614,205,2780,1919,1178,319,6401,15015
418,WEST BENGAL,2005,Total Salaried,0,561,756,437,0,1754,0,128,125,58,0,311,2065
419,WEST BENGAL,2005,Total Self-employed,0,874,1387,1265,289,3815,4,219,203,173,73,672,4487
420,TOTAL (STATES),2005,House Wife,0,0,0,0,0,0,30,10468,7786,3907,1458,23649,23649
421,TOTAL (STATES),2005,Service (Government),0,290,592,489,5,1376,0,80,118,46,1,245,1621
422,TOTAL (STATES),2005,Service (Private),20,2399,2876,1691,186,7172,33,608,413,174,64,1292,8464
423,TOTAL (STATES),2005,Public Sector Undertaking,0,465,742,517,32,1756,0,149,147,70,8,374,2130
424,TOTAL (STATES),2005,Student,575,2085,151,3,0,2814,575,1531,77,1,0,2184,4998
425,TOTAL (STATES),2005,Unemployed,40,2956,2448,1036,342,6822,13,874,451,158,92,1588,8410
426,TOTAL (STATES),2005,Self-employed (Business activity),21,1452,2273,1554,367,5667,3,192,183,108,48,534,6201
427,TOTAL (STATES),2005,Professional Activity,17,626,979,705,151,2478,5,107,49,50,20,231,2709
428,TOTAL (STATES),2005,Farming/Agriculture Activity,54,3604,5600,3859,1685,14802,41,758,751,417,187,2154,16956
429,TOTAL (STATES),2005,Others (Please Specify),179,3899,5223,3686,1879,14866,145,1556,943,738,338,3720,18586
430,TOTAL (STATES),2005,Retired Person,0,16,10,163,624,813,0,4,4,15,71,94,907
431,TOTAL (STATES),2005,Others (Please Specify),405,3512,4586,3266,1249,13018,363,1643,1109,639,399,4153,17171
432,TOTAL (STATES),2005,Total,1311,21304,25480,16969,6520,71584,1208,17970,12031,6323,2686,40218,111802
433,TOTAL (STATES),2005,Total Salaried,20,3154,4210,2697,223,10304,33,837,678,290,73,1911,12215
434,TOTAL (STATES),2005,Total Self-employed,271,9581,14075,9804,4082,37813,194,2613,1926,1313,593,6639,44452
435,A & N ISLANDS,2005,House Wife,0,0,0,0,0,0,0,11,7,10,4,32,32
436,A & N ISLANDS,2005,Service (Government),0,1,5,7,0,13,0,0,0,0,0,0,13
437,A & N ISLANDS,2005,Service (Private),0,9,12,14,12,47,0,4,0,0,0,4,51
438,A & N ISLANDS,2005,Public Sector Undertaking,0,0,0,0,0,0,0,0,0,0,0,0,0
439,A & N ISLANDS,2005,Student,2,3,0,0,0,5,3,4,0,0,0,7,12
440,A & N ISLANDS,2005,Unemployed,0,1,1,1,0,3,0,8,0,0,1,9,12
441,A & N ISLANDS,2005,Self-employed (Business activity),3,1,0,0,1,5,0,0,0,0,0,0,5
442,A & N ISLANDS,2005,Professional Activity,0,0,0,0,0,0,0,0,0,0,0,0,0
443,A & N ISLANDS,2005,Farming/Agriculture Activity,0,0,2,1,4,7,0,0,1,0,0,1,8
444,A & N ISLANDS,2005,Others (Please Specify),0,0,4,2,0,6,0,0,0,0,0,0,6
445,A & N ISLANDS,2005,Retired Person,0,0,0,0,0,0,0,0,0,0,0,0,0
446,A & N ISLANDS,2005,Others (Please Specify),0,0,0,0,0,0,0,0,0,0,0,0,0
447,A & N ISLANDS,2005,Total,5,15,24,25,17,86,3,27,8,10,5,53,139
448,A & N ISLANDS,2005,Total Salaried,0,10,17,21,12,60,0,4,0,0,0,4,64
449,A & N ISLANDS,2005,Total Self-employed,3,1,6,3,5,18,0,0,1,0,0,1,19
450,CHANDIGARH,2005,House Wife,0,0,0,0,0,0,0,6,5,3,0,14,14
451,CHANDIGARH,2005,Service (Government),0,1,0,1,0,2,0,0,0,1,0,1,3
452,CHANDIGARH,2005,Service (Private),0,5,6,6,0,17,0,1,0,0,0,1,18
453,CHANDIGARH,2005,Public Sector Undertaking,0,0,5,0,0,5,0,0,0,0,0,0,5
454,CHANDIGARH,2005,Student,1,2,0,0,0,3,0,3,0,0,0,3,6
455,CHANDIGARH,2005,Unemployed,0,12,3,0,0,15,0,2,0,0,0,2,17
456,CHANDIGARH,2005,Self-employed (Business activity),0,8,2,1,0,11,0,0,0,0,0,0,11
457,CHANDIGARH,2005,Professional Activity,0,0,0,0,0,0,0,0,0,0,0,0,0
458,CHANDIGARH,2005,Farming/Agriculture Activity,0,0,0,0,0,0,0,0,0,0,0,0,0
459,CHANDIGARH,2005,Others (Please Specify),0,5,2,2,0,9,0,3,1,0,0,4,13
460,CHANDIGARH,2005,Retired Person,0,0,0,0,0,0,0,0,0,0,0,0,0
461,CHANDIGARH,2005,Others (Please Specify),1,0,0,0,0,1,1,0,0,0,0,1,2
462,CHANDIGARH,2005,Total,2,33,18,10,0,63,1,15,6,4,0,26,89
463,CHANDIGARH,2005,Total Salaried,0,6,11,7,0,24,0,1,0,1,0,2,26
464,CHANDIGARH,2005,Total Self-employed,0,13,4,3,0,20,0,3,1,0,0,4,24
465,D & N HAVELI,2005,House Wife,0,0,0,0,0,0,0,7,7,7,1,22,22
466,D & N HAVELI,2005,Service (Government),0,0,0,0,0,0,0,2,1,0,0,3,3
467,D & N HAVELI,2005,Service (Private),0,3,1,0,0,4,0,0,0,0,0,0,4
468,D & N HAVELI,2005,Public Sector Undertaking,0,0,0,0,0,0,0,0,0,0,0,0,0
469,D & N HAVELI,2005,Student,0,0,0,0,0,0,0,0,0,0,0,0,0
470,D & N HAVELI,2005,Unemployed,0,1,1,0,0,2,0,0,0,0,0,0,2
471,D & N HAVELI,2005,Self-employed (Business activity),0,0,0,0,0,0,0,0,0,0,0,0,0
472,D & N HAVELI,2005,Professional Activity,0,0,0,0,0,0,0,0,0,0,0,0,0
473,D & N HAVELI,2005,Farming/Agriculture Activity,0,3,6,4,0,13,0,0,0,0,0,0,13
474,D & N HAVELI,2005,Others (Please Specify),0,0,0,0,0,0,0,0,0,0,0,0,0
475,D & N HAVELI,2005,Retired Person,0,0,0,0,0,0,0,0,0,0,0,0,0
476,D & N HAVELI,2005,Others (Please Specify),0,9,5,2,6,22,0,3,0,0,0,3,25
477,D & N HAVELI,2005,Total,0,16,13,6,6,41,0,12,8,7,1,28,69
478,D & N HAVELI,2005,Total Salaried,0,3,1,0,0,4,0,2,1,0,0,3,7
479,D & N HAVELI,2005,Total Self-employed,0,3,6,4,0,13,0,0,0,0,0,0,13
480,DAMAN & DIU,2005,House Wife,0,0,0,0,0,0,0,2,2,0,0,4,4
481,DAMAN & DIU,2005,Service (Government),0,0,0,0,0,0,0,0,0,0,0,0,0
482,DAMAN & DIU,2005,Service (Private),0,6,1,1,0,8,0,0,0,0,0,0,8
483,DAMAN & DIU,2005,Public Sector Undertaking,0,0,0,1,0,1,0,0,0,0,0,0,1
484,DAMAN & DIU,2005,Student,1,0,0,0,0,1,0,0,0,0,0,0,1
485,DAMAN & DIU,2005,Unemployed,0,0,0,4,0,4,0,0,0,0,0,0,4
486,DAMAN & DIU,2005,Self-employed (Business activity),0,0,1,0,0,1,0,0,0,0,0,0,1
487,DAMAN & DIU,2005,Professional Activity,0,0,0,0,0,0,0,0,0,0,0,0,0
488,DAMAN & DIU,2005,Farming/Agriculture Activity,0,0,0,0,0,0,0,0,0,0,0,0,0
489,DAMAN & DIU,2005,Others (Please Specify),0,3,1,4,0,8,0,0,0,0,0,0,8
490,DAMAN & DIU,2005,Retired Person,0,0,0,0,0,0,0,0,0,0,0,0,0
491,DAMAN & DIU,2005,Others (Please Specify),0,1,1,0,0,2,0,3,0,0,0,3,5
492,DAMAN & DIU,2005,Total,1,10,4,10,0,25,0,5,2,0,0,7,32
493,DAMAN & DIU,2005,Total Salaried,0,6,1,2,0,9,0,0,0,0,0,0,9
494,DAMAN & DIU,2005,Total Self-employed,0,3,2,4,0,9,0,0,0,0,0,0,9
495,DELHI (UT),2005,House Wife,0,0,0,0,0,0,0,162,102,23,7,294,294
496,DELHI (UT),2005,Service (Government),0,7,18,11,0,36,0,3,0,1,0,4,40
497,DELHI (UT),2005,Service (Private),0,76,58,29,2,165,1,14,3,0,0,18,183
498,DELHI (UT),2005,Public Sector Undertaking,0,1,2,1,0,4,0,1,0,0,0,1,5
499,DELHI (UT),2005,Student,4,50,5,0,0,59,5,33,1,0,0,39,98
500,DELHI (UT),2005,Unemployed,1,109,69,24,6,209,2,25,5,0,0,32,241
501,DELHI (UT),2005,Self-employed (Business activity),0,7,8,0,1,16,0,0,0,0,0,0,16
502,DELHI (UT),2005,Professional Activity,0,0,1,3,1,5,0,1,0,0,0,1,6
503,DELHI (UT),2005,Farming/Agriculture Activity,0,1,5,1,0,7,0,0,0,0,0,0,7
504,DELHI (UT),2005,Others (Please Specify),0,54,44,17,7,122,0,11,12,1,0,24,146
505,DELHI (UT),2005,Retired Person,0,0,0,0,3,3,0,0,0,0,0,0,3
506,DELHI (UT),2005,Others (Please Specify),3,65,54,25,4,151,5,31,17,1,1,55,206
507,DELHI (UT),2005,Total,8,370,264,111,24,777,13,281,140,26,8,468,1245
508,DELHI (UT),2005,Total Salaried,0,84,78,41,2,205,1,18,3,1,0,23,228
509,DELHI (UT),2005,Total Self-employed,0,62,58,21,9,150,0,12,12,1,0,25,175
510,LAKSHADWEEP,2005,House Wife,0,0,0,0,0,0,0,0,0,0,0,0,0
511,LAKSHADWEEP,2005,Service (Government),0,0,0,0,0,0,0,0,0,0,0,0,0
512,LAKSHADWEEP,2005,Service (Private),0,0,0,0,0,0,0,0,0,0,0,0,0
513,LAKSHADWEEP,2005,Public Sector Undertaking,0,0,0,0,0,0,0,0,0,0,0,0,0
514,LAKSHADWEEP,2005,Student,0,0,0,0,0,0,0,0,0,0,0,0,0
515,LAKSHADWEEP,2005,Unemployed,0,0,0,0,0,0,0,0,0,0,0,0,0
516,LAKSHADWEEP,2005,Self-employed (Business activity),0,0,0,0,0,0,0,0,0,0,0,0,0
517,LAKSHADWEEP,2005,Professional Activity,0,0,0,0,0,0,0,0,0,0,0,0,0
518,LAKSHADWEEP,2005,Farming/Agriculture Activity,0,0,0,0,0,0,0,0,0,0,0,0,0
519,LAKSHADWEEP,2005,Others (Please Specify),0,0,0,0,0,0,0,0,0,0,0,0,0
520,LAKSHADWEEP,2005,Retired Person,0,0,0,0,0,0,0,0,0,0,0,0,0
521,LAKSHADWEEP,2005,Others (Please Specify),0,0,0,0,0,0,0,0,0,0,0,0,0
522,LAKSHADWEEP,2005,Total,0,0,0,0,0,0,0,0,0,0,0,0,0
523,LAKSHADWEEP,2005,Total Salaried,0,0,0,0,0,0,0,0,0,0,0,0,0
524,LAKSHADWEEP,2005,Total Self-employed,0,0,0,0,0,0,0,0,0,0,0,0,0
525,PUDUCHERRY,2005,House Wife,0,0,0,0,0,0,0,48,51,18,9,126,126
526,PUDUCHERRY,2005,Service (Government),0,1,5,6,0,12,0,0,0,1,0,1,13
527,PUDUCHERRY,2005,Service (Private),0,16,33,25,1,75,0,10,1,0,0,11,86
528,PUDUCHERRY,2005,Public Sector Undertaking,0,0,1,0,1,2,0,0,0,0,0,0,2
529,PUDUCHERRY,2005,Student,1,5,1,0,0,7,2,14,0,0,0,16,23
530,PUDUCHERRY,2005,Unemployed,0,22,12,21,16,71,0,28,2,0,11,41,112
531,PUDUCHERRY,2005,Self-employed (Business activity),0,2,5,1,2,10,0,0,0,0,0,0,10
532,PUDUCHERRY,2005,Professional Activity,0,1,5,2,0,8,0,0,0,0,0,0,8
533,PUDUCHERRY,2005,Farming/Agriculture Activity,0,28,65,45,6,144,0,1,2,0,0,3,147
534,PUDUCHERRY,2005,Others (Please Specify),0,0,0,0,0,0,0,0,0,0,0,0,0
535,PUDUCHERRY,2005,Retired Person,0,0,0,1,3,4,0,0,0,0,0,0,4
536,PUDUCHERRY,2005,Others (Please Specify),0,0,2,4,1,7,0,0,0,0,0,0,7
537,PUDUCHERRY,2005,Total,1,75,129,105,30,340,2,101,56,19,20,198,538
538,PUDUCHERRY,2005,Total Salaried,0,17,39,31,2,89,0,10,1,1,0,12,101
539,PUDUCHERRY,2005,Total Self-employed,0,31,75,48,8,162,0,1,2,0,0,3,165
540,TOTAL (UTs),2005,House Wife,0,0,0,0,0,0,0,236,174,61,21,492,492
541,TOTAL (UTs),2005,Service (Government),0,10,28,25,0,63,0,5,1,3,0,9,72
542,TOTAL (UTs),2005,Service (Private),0,115,111,75,15,316,1,29,4,0,0,34,350
543,TOTAL (UTs),2005,Public Sector Undertaking,0,1,8,2,1,12,0,1,0,0,0,1,13
544,TOTAL (UTs),2005,Student,9,60,6,0,0,75,10,54,1,0,0,65,140
545,TOTAL (UTs),2005,Unemployed,1,145,86,50,22,304,2,63,7,0,12,84,388
546,TOTAL (UTs),2005,Self-employed (Business activity),3,18,16,2,4,43,0,0,0,0,0,0,43
547,TOTAL (UTs),2005,Professional Activity,0,1,6,5,1,13,0,1,0,0,0,1,14
548,TOTAL (UTs),2005,Farming/Agriculture Activity,0,32,78,51,10,171,0,1,3,0,0,4,175
549,TOTAL (UTs),2005,Others (Please Specify),0,62,51,25,7,145,0,14,13,1,0,28,173
550,TOTAL (UTs),2005,Retired Person,0,0,0,1,6,7,0,0,0,0,0,0,7
551,TOTAL (UTs),2005,Others (Please Specify),4,75,62,31,11,183,6,37,17,1,1,62,245
552,TOTAL (UTs),2005,Total,17,519,452,267,77,1332,19,441,220,66,34,780,2112
553,TOTAL (UTs),2005,Total Salaried,0,126,147,102,16,391,1,35,5,3,0,44,435
554,TOTAL (UTs),2005,Total Self-employed,3,113,151,83,22,372,0,16,16,1,0,33,405
555,TOTAL (ALL INDIA),2005,House Wife,0,0,0,0,0,0,30,10704,7960,3968,1479,24141,24141
556,TOTAL (ALL INDIA),2005,Service (Government),0,300,620,514,5,1439,0,85,119,49,1,254,1693
557,TOTAL (ALL INDIA),2005,Service (Private),20,2514,2987,1766,201,7488,34,637,417,174,64,1326,8814
558,TOTAL (ALL INDIA),2005,Public Sector Undertaking,0,466,750,519,33,1768,0,150,147,70,8,375,2143
559,TOTAL (ALL INDIA),2005,Student,584,2145,157,3,0,2889,585,1585,78,1,0,2249,5138
560,TOTAL (ALL INDIA),2005,Unemployed,41,3101,2534,1086,364,7126,15,937,458,158,104,1672,8798
561,TOTAL (ALL INDIA),2005,Self-employed (Business activity),24,1470,2289,1556,371,5710,3,192,183,108,48,534,6244
562,TOTAL (ALL INDIA),2005,Professional Activity,17,627,985,710,152,2491,5,108,49,50,20,232,2723
563,TOTAL (ALL INDIA),2005,Farming/Agriculture Activity,54,3636,5678,3910,1695,14973,41,759,754,417,187,2158,17131
564,TOTAL (ALL INDIA),2005,Others (Please Specify),179,3961,5274,3711,1886,15011,145,1570,956,739,338,3748,18759
565,TOTAL (ALL INDIA),2005,Retired Person,0,16,10,164,630,820,0,4,4,15,71,94,914
566,TOTAL (ALL INDIA),2005,Others (Please Specify),409,3587,4648,3297,1260,13201,369,1680,1126,640,400,4215,17416
567,TOTAL (ALL INDIA),2005,Total,1328,21823,25932,17236,6597,72916,1227,18411,12251,6389,2720,40998,113914
